experiment_name,epoch,train_loss,val_loss,train_roc_auc,train_auprc,train_accuracy,train_f1,val_roc_auc,val_auprc,val_accuracy,val_precision,val_recall_sensitivity,val_specificity,val_f1,lr,epoch_seconds,improved
effb0_weighted_bce,1,1.6190610639664815,0.8590362354328758,0.7539886114026066,0.37019240518214414,0.6952794540635046,0.4447641557907718,0.8415689681563328,0.5785032322186757,0.8257894736842105,0.5102827763496144,0.5855457227138643,0.8779628443305574,0.5453296703296703,0.00029815325108927063,97.78259134292603,True
effb0_weighted_bce,2,0.8752618546911077,0.8584314880873027,0.8503100658190493,0.6093100364916703,0.7707405109694885,0.5396897293624731,0.8594305990978477,0.6278984319036186,0.8455263157894737,0.566813509544787,0.5693215339233039,0.9055092889173607,0.5680647534952171,0.00029265847744427303,97.79030680656433,True
effb0_weighted_bce,3,0.7283986251498498,0.6901449711699235,0.8808229343746063,0.6796818538381045,0.8024364108059331,0.5872510899022033,0.8964603659631241,0.7167735500568707,0.8576315789473684,0.5872611464968153,0.6799410029498525,0.8962203715566944,0.6302118933697881,0.0002836509786282552,97.7979793548584,True
effb0_weighted_bce,4,0.6711106024164414,0.6385111098540457,0.9018070257731098,0.7275509359034859,0.8203711014607186,0.6154774840033804,0.9068002037117875,0.7353934150907185,0.8368421052631579,0.5288270377733598,0.7846607669616519,0.8481742472773863,0.6318289786223278,0.0002713525491562421,98.2281231880188,True
effb0_weighted_bce,5,0.5625866080599787,0.6676060583716945,0.9271207402544934,0.7787034226743604,0.8455811854943319,0.6597912524850894,0.907414362625879,0.7452239467787534,0.8497368421052631,0.5572192513368984,0.7684365781710915,0.8673926969891096,0.6460012399256044,0.0002560660171779821,98.12269997596741,True
effb0_weighted_bce,6,0.5180946172286321,0.6328493621474818,0.9388303006606193,0.8021771096046726,0.8593987930742767,0.6868483858811707,0.9134635917147129,0.7568753121712671,0.8007894736842105,0.4684756584197925,0.8657817109144543,0.7866752081998719,0.6079751424132573,0.000238167787843871,97.79594874382019,True
effb0_weighted_bce,7,0.48807940710136166,0.6181123758617201,0.9460932422436379,0.8226050724143155,0.8680277480119565,0.7028948704926359,0.9169298101398582,0.7628207454893422,0.8305263157894737,0.5153985507246377,0.8392330383480826,0.8286354900704677,0.6386083052749719,0.00021809857496093204,100.06638526916504,True
effb0_weighted_bce,8,0.4272797478952355,0.6435501434928492,0.9586249715100734,0.861927757844211,0.887936382606734,0.7389990805201628,0.9185788268241937,0.7687390701221861,0.8242105263157895,0.5043478260869565,0.855457227138643,0.8174247277386291,0.6345733041575492,0.00019635254915624216,99.89454555511475,True
effb0_weighted_bce,9,0.4184014825450289,0.7329227738631399,0.9609561577167637,0.8705230165339508,0.8912074897072924,0.7465510445407962,0.9160945540166938,0.7584067651616059,0.8697368421052631,0.6075205640423031,0.7625368731563422,0.8930172966047405,0.6762589928057554,0.00017346516975603468,98.33408975601196,False
effb0_weighted_bce,10,0.34865004193674565,0.7848100192923295,0.9731953325747587,0.9072216826993752,0.9114545146917827,0.7866847826086957,0.9197915544645574,0.7588646084559644,0.8847368421052632,0.6566579634464752,0.7418879056047197,0.9157591287636131,0.6966759002770083,0.00015000000000000001,97.74159169197083,True
effb0_weighted_bce,11,0.29970827710977443,0.6589829313755036,0.9800849829298987,0.9234525246014231,0.9268512774237212,0.8198360883456035,0.9339927982780873,0.8073894408305573,0.8626315789473684,0.5792682926829268,0.8407079646017699,0.8673926969891096,0.6859205776173285,0.0001265348302439654,98.01698446273804,True
effb0_weighted_bce,12,0.2328897218710678,0.7974762172291153,0.9874211796770483,0.9508829255760253,0.9419096497659466,0.8541902604756512,0.9287731561532109,0.7729381327999792,0.8855263157894737,0.6472727272727272,0.7876106194690266,0.9067905188981422,0.7105788423153693,0.0001036474508437579,98.21908354759216,False
effb0_weighted_bce,13,0.2081300050338415,0.748184790862234,0.9899356230668325,0.9596429677051437,0.9481134735773504,0.8677780971543547,0.9315838780450472,0.790885762881954,0.885,0.6406067677946324,0.8097345132743363,0.9013452914798207,0.7153094462540717,8.190142503906799e-05,97.72393751144409,False
effb0_weighted_bce,14,0.1628257804707018,0.8334319102920984,0.9938057749270864,0.9743941563124516,0.9608595115898708,0.8978811065332548,0.9373111461339168,0.8160389170721519,0.9018421052631579,0.6988265971316818,0.7905604719764012,0.9260089686098655,0.7418685121107267,6.183221215612905e-05,98.09160017967224,True
effb0_weighted_bce,15,0.1240343990894388,0.921397177404479,0.9964149425788376,0.9854843801716726,0.96999605211212,0.9204307508226144,0.9405262680491856,0.8299805609279927,0.911578947368421,0.7381615598885793,0.7817109144542773,0.9397821909032671,0.7593123209169055,4.393398282201788e-05,99.33765029907227,True
effb0_weighted_bce,16,0.1040081808423473,0.8230460662433976,0.9974449388119869,0.9895580632876378,0.9760306807286673,0.9357326478149101,0.9441542937266973,0.8387126832223457,0.9026315789473685,0.6873479318734793,0.8333333333333334,0.9176809737347854,0.7533333333333333,2.86474508437579e-05,100.01668119430542,True
effb0_weighted_bce,17,0.08300241566873008,0.9552556631831747,0.9983873020912419,0.9930382459881589,0.9806553493880774,0.9478802613584562,0.9426425179381646,0.8437336628877855,0.9084210526315789,0.7205882352941176,0.7949852507374632,0.933055733504164,0.7559607293127629,1.6349021371744834e-05,98.9363489151001,False
effb0_weighted_bce,18,0.06584010386336542,0.9452969861932491,0.9990532778433054,0.9958093832598207,0.9843212452766341,0.9573357888275016,0.9434489558353599,0.846922475370881,0.9105263157894737,0.7253333333333334,0.8023598820058997,0.9340166559897501,0.7619047619047619,7.341522555726972e-06,98.00014305114746,False
effb0_weighted_bce,19,0.06089600006110118,0.9918548177221888,0.9990915860870705,0.9954893501394999,0.9855056116406294,0.960516208326932,0.9443987762174992,0.849147284664637,0.9176315789473685,0.7566807313642757,0.7935103244837758,0.9445868033311979,0.7746580273578114,1.8467489107293517e-06,97.67277407646179,True
effb0_weighted_bce,20,0.05739142024563618,1.0340611377868214,0.9992294654042838,0.9965480860074623,0.9870847667926231,0.9647638098168949,0.9466345508797591,0.857121681507473,0.9192105263157895,0.7676767676767676,0.7846607669616519,0.9484304932735426,0.7760758570386579,0.0,98.13592410087585,True
