experiment_name,epoch,train_loss,val_loss,train_roc_auc,train_auprc,train_accuracy,train_f1,val_roc_auc,val_auprc,val_accuracy,val_precision,val_recall_sensitivity,val_specificity,val_f1,lr,epoch_seconds,improved
effb0_weighted_bce_sampler,1,1.8822743794107375,1.0972198345786648,0.7818253764437062,0.7495661606590931,0.6824770176526986,0.7411970212374736,0.8364426309434048,0.5835626426014443,0.5992105263157895,0.2957950700821653,0.9026548672566371,0.5333119795003203,0.4455769930833637,0.00029815325108927063,97.35092353820801,True
effb0_weighted_bce_sampler,2,0.8699452458995294,0.8345377058731882,0.8854761741102073,0.879173566236234,0.7500422987987141,0.79395629939563,0.875119052343347,0.6469122292649954,0.6981578947368421,0.36099585062240663,0.8982300884955752,0.6547085201793722,0.5150105708245243,0.00029265847744427303,96.91664505004883,True
effb0_weighted_bce_sampler,3,0.6846598376746938,0.6796306968990126,0.9253228730760765,0.9199428235325804,0.7997292876882297,0.8272943922960946,0.9070872048966419,0.7317703132422267,0.8178947368421052,0.4938811188811189,0.8333333333333334,0.8145419602818706,0.6201975850713501,0.0002836509786282552,98.66432356834412,True
effb0_weighted_bce_sampler,4,0.5973082043906637,0.8575725806386847,0.9408962754795608,0.9348151351053318,0.8287180644069708,0.8501652770240269,0.8956702268986485,0.694829355031252,0.7321052631578947,0.391025641025641,0.8997050147492626,0.6957078795643818,0.5451295799821269,0.0002713525491562421,99.00505757331848,False
effb0_weighted_bce_sampler,5,0.5173719722226512,0.6962070786325555,0.955391421384758,0.9512452841281565,0.8561276859737184,0.8725710574953794,0.9176623127523957,0.767091855499515,0.835,0.5230769230769231,0.8525073746312685,0.8311979500320308,0.6483454851374089,0.0002560660171779821,98.53754186630249,True
effb0_weighted_bce_sampler,6,0.458169997138465,0.72232515008826,0.9650172903484328,0.9626104803368248,0.8759799221702104,0.8886751379537285,0.919182356064772,0.7563281967109016,0.8013157894736842,0.46946867565424266,0.8731563421828908,0.7857142857142857,0.6106240330067045,0.000238167787843871,97.06504249572754,True
effb0_weighted_bce_sampler,7,0.3886657629943016,0.6872252923877615,0.9746838895227397,0.9695543890359579,0.8978061023066944,0.9039745627980922,0.9199746210639501,0.7750509855102454,0.8571052631578947,0.5682507583417593,0.8289085545722714,0.8632286995515696,0.6742651469706059,0.00021809857496093204,97.05030703544617,True
effb0_weighted_bce_sampler,8,0.3327815711025955,0.667769241521233,0.9805051094480397,0.9774786165501778,0.9134848570300603,0.9189389135489325,0.9289115781238484,0.780094178681475,0.8436842105263158,0.5384615384615384,0.8672566371681416,0.8385650224215246,0.6644067796610169,0.00019635254915624216,97.317214012146,True
effb0_weighted_bce_sampler,9,0.3012616090259269,0.7161744449013158,0.9843624971986599,0.9818885961615215,0.9224522023574531,0.9261030794862148,0.9245982928271907,0.7659268502457938,0.8402631578947368,0.5325987144168962,0.855457227138643,0.8369634849455477,0.656479909451047,0.00017346516975603468,97.32939910888672,False
effb0_weighted_bce_sampler,10,0.23812478875879925,0.7696442664924421,0.9897890600265244,0.9884903863206792,0.9391461282499577,0.9421726780642049,0.9305003599916096,0.7903882850842626,0.8568421052631578,0.5666003976143141,0.8407079646017699,0.860345932094811,0.6769596199524941,0.00015000000000000001,97.1092483997345,True
effb0_weighted_bce_sampler,11,0.1859313343881075,0.7731830899338973,0.9935019382802467,0.9924289569579381,0.9543172973887541,0.9561308492201039,0.928360252390968,0.7696418556133169,0.8705263157894737,0.6033333333333334,0.8008849557522124,0.8856502242152466,0.688212927756654,0.0001265348302439654,98.00653648376465,False
effb0_weighted_bce_sampler,12,0.16293751956210803,0.7315866698246253,0.9950647293088943,0.994417577424751,0.9605775195984434,0.9621691833089787,0.9448050659606675,0.8268848810764704,0.8934210526315789,0.6607773851590106,0.827433628318584,0.9077514413837284,0.7347740667976425,0.0001036474508437579,99.3125250339508,True
effb0_weighted_bce_sampler,13,0.12379626734618722,0.8421777643969185,0.9970096599083578,0.9966484165202896,0.9693756697309797,0.9705579352599902,0.9397781752488288,0.8159391077142659,0.891578947368421,0.6621951219512195,0.8008849557522124,0.9112748238308777,0.7249666221628839,8.190142503906799e-05,99.04485702514648,False
effb0_weighted_bce_sampler,14,0.12457981430265976,0.7755404785902876,0.9966528465347007,0.9958207089189978,0.9690372793412667,0.9698500741391619,0.9465343957337689,0.8376838143067642,0.9026315789473685,0.6925,0.8171091445427728,0.9212043561819346,0.7496617050067659,6.183221215612905e-05,97.00293326377869,True
effb0_weighted_bce_sampler,15,0.07617772780997496,0.7865133794357902,0.9984649293844489,0.9979183145362325,0.9818961141503582,0.9822012752980316,0.9480119203520925,0.8432575928867567,0.9071052631578947,0.7044025157232704,0.8259587020648967,0.924727738629084,0.7603530210454854,4.393398282201788e-05,97.286452293396,True
effb0_weighted_bce_sampler,16,0.05812909432015227,0.8733685667303047,0.999324615922185,0.9992583745185838,0.9862387908183408,0.9864864864864865,0.9521596189569124,0.8599832788658769,0.9186842105263158,0.7544827586206897,0.8067846607669616,0.942985265855221,0.7797576621525303,2.86474508437579e-05,96.99684596061707,True
