threshold,sensitivity,specificity,precision,recall,f1,accuracy,roc_auc,auprc,tp,tn,fp,fn
0.0,1.0,0.0,0.1785883467550924,1.0,0.30305466237942125,0.1785883467550924,0.8380407657940171,0.5202921867372492,1131,0,5202,0
0.01,1.0,0.0,0.1785883467550924,1.0,0.30305466237942125,0.1785883467550924,0.8380407657940171,0.5202921867372492,1131,0,5202,0
0.02,1.0,0.0,0.1785883467550924,1.0,0.30305466237942125,0.1785883467550924,0.8380407657940171,0.5202921867372492,1131,0,5202,0
0.03,1.0,0.0,0.1785883467550924,1.0,0.30305466237942125,0.1785883467550924,0.8380407657940171,0.5202921867372492,1131,0,5202,0
0.04,1.0,0.0,0.1785883467550924,1.0,0.30305466237942125,0.1785883467550924,0.8380407657940171,0.5202921867372492,1131,0,5202,0
0.05,1.0,0.0,0.1785883467550924,1.0,0.30305466237942125,0.1785883467550924,0.8380407657940171,0.5202921867372492,1131,0,5202,0
0.06,1.0,0.0,0.1785883467550924,1.0,0.30305466237942125,0.1785883467550924,0.8380407657940171,0.5202921867372492,1131,0,5202,0
0.07,1.0,0.0,0.1785883467550924,1.0,0.30305466237942125,0.1785883467550924,0.8380407657940171,0.5202921867372492,1131,0,5202,0
0.08,1.0,0.0,0.1785883467550924,1.0,0.30305466237942125,0.1785883467550924,0.8380407657940171,0.5202921867372492,1131,0,5202,0
0.09,1.0,0.0,0.1785883467550924,1.0,0.30305466237942125,0.1785883467550924,0.8380407657940171,0.5202921867372492,1131,0,5202,0
0.1,1.0,0.00019223375624759708,0.1786165508528111,1.0,0.30309526999866004,0.1787462498026212,0.8380407657940171,0.5202921867372492,1131,1,5201,0
0.11,1.0,0.0011534025374855825,0.17875770507349456,1.0,0.3032984714400644,0.17953576504026528,0.8380407657940171,0.5202921867372492,1131,6,5196,0
0.12,1.0,0.005382545174932718,0.17938144329896907,1.0,0.3041958041958042,0.18300963208589927,0.8380407657940171,0.5202921867372492,1131,28,5174,0
0.13,1.0,0.011726259131103423,0.1803252551020408,1.0,0.30555180332297716,0.18822043265435023,0.8380407657940171,0.5202921867372492,1131,61,5141,0
0.14,1.0,0.02191464821222607,0.18186203569705742,1.0,0.30775510204081635,0.19658929417337753,0.8380407657940171,0.5202921867372492,1131,114,5088,0
0.15,1.0,0.03364090734332949,0.18366352711919454,1.0,0.31033063520373166,0.2062213800726354,0.8380407657940171,0.5202921867372492,1131,175,5027,0
0.16,1.0,0.049788542868127644,0.1862034902864669,1.0,0.31394864677307427,0.21948523606505604,0.8380407657940171,0.5202921867372492,1131,259,4943,0
0.17,1.0,0.06459054209919261,0.18859429714857429,1.0,0.31734006734006737,0.231643770724775,0.8380407657940171,0.5202921867372492,1131,336,4866,0
0.18,1.0,0.07747020376778162,0.19072512647554807,1.0,0.3203512250389463,0.24222327490920575,0.8380407657940171,0.5202921867372492,1131,403,4799,0
0.19,1.0,0.09054209919261823,0.19293756397134085,1.0,0.3234663234663235,0.25296068214116535,0.8380407657940171,0.5202921867372492,1131,471,4731,0
0.2,1.0,0.10668973471741638,0.19574247144340604,1.0,0.32739904472427267,0.266224538133586,0.8380407657940171,0.5202921867372492,1131,555,4647,0
0.21,1.0,0.11495578623606305,0.1972101133391456,1.0,0.3294494611127294,0.27301436917732513,0.8380407657940171,0.5202921867372492,1131,598,4604,0
0.22,1.0,0.12302960399846213,0.1986650272264184,1.0,0.33147713950762014,0.27964629717353545,0.8380407657940171,0.5202921867372492,1131,640,4562,0
0.23,1.0,0.13264129181084197,0.2004253056884636,1.0,0.33392382639503987,0.2875414495499763,0.8380407657940171,0.5202921867372492,1131,690,4512,0
0.24,1.0,0.14052287581699346,0.20189218136379863,1.0,0.335957225605228,0.29401547449865784,0.8380407657940171,0.5202921867372492,1131,731,4471,0
0.25,1.0,0.14705882352941177,0.203125,1.0,0.33766233766233766,0.29938417811463763,0.8380407657940171,0.5202921867372492,1131,765,4437,0
0.26,1.0,0.15378700499807765,0.20440990421109706,1.0,0.3394357743097239,0.3049107847781462,0.8380407657940171,0.5202921867372492,1131,800,4402,0
0.27,1.0,0.15897731641676277,0.2054122775154377,1.0,0.3408166340213952,0.3091741670614243,0.8380407657940171,0.5202921867372492,1131,827,4375,0
0.28,1.0,0.1637831603229527,0.20634920634920634,1.0,0.34210526315789475,0.3131217432496447,0.8380407657940171,0.5202921867372492,1131,852,4350,0
0.29,0.9991158267020336,0.16820453671664745,0.2070734835990471,0.9991158267020336,0.3430479659987857,0.3165956102952787,0.8380407657940171,0.5202921867372492,1130,875,4327,1
0.3,0.9991158267020336,0.1714725105728566,0.20772058823529413,0.9991158267020336,0.3439354740526556,0.3192799621032686,0.8380407657940171,0.5202921867372492,1130,892,4310,1
0.31,0.9991158267020336,0.17550941945405613,0.208525558221074,0.9991158267020336,0.3450381679389313,0.3225959261013738,0.8380407657940171,0.5202921867372492,1130,913,4289,1
0.32,0.9991158267020336,0.18050749711649366,0.20953087335434822,0.9991158267020336,0.3464132434089516,0.326701405337123,0.8380407657940171,0.5202921867372492,1130,939,4263,1
0.33,0.9991158267020336,0.185121107266436,0.21046749860309183,0.9991158267020336,0.3476923076923077,0.3304910784778146,0.8380407657940171,0.5202921867372492,1130,963,4239,1
0.34,0.9991158267020336,0.18992695117262592,0.21145209580838323,0.9991158267020336,0.349034749034749,0.33443865466603506,0.8380407657940171,0.5202921867372492,1130,988,4214,1
0.35000000000000003,0.9991158267020336,0.19473279507881583,0.21244594848655762,0.9991158267020336,0.35038759689922483,0.3383862308542555,0.8380407657940171,0.5202921867372492,1130,1013,4189,1
0.36,0.9982316534040672,0.20030757400999616,0.2134619020608811,0.9982316534040672,0.3517133956386293,0.3428075161850624,0.8380407657940171,0.5202921867372492,1129,1042,4160,2
0.37,0.9982316534040672,0.20742022299115725,0.21496572734196498,0.9982316534040672,0.35375215415948613,0.3486499289436286,0.8380407657940171,0.5202921867372492,1129,1079,4123,2
0.38,0.9973474801061007,0.21434063821607074,0.21629913710450624,0.9973474801061007,0.35549952726126693,0.35417653560713724,0.8380407657940171,0.5202921867372492,1128,1115,4087,3
0.39,0.9973474801061007,0.22049211841599384,0.21763457457071195,0.9973474801061007,0.35730123535001584,0.3592294331280594,0.8380407657940171,0.5202921867372492,1128,1147,4055,3
0.4,0.9964633068081344,0.2299115724721261,0.21955971166958893,0.9964633068081344,0.3598339719029374,0.3668087794094426,0.8380407657940171,0.5202921867372492,1127,1196,4006,4
0.41000000000000003,0.9946949602122016,0.24048442906574394,0.22163120567375885,0.9946949602122016,0.3624939584340261,0.37517764092846995,0.8380407657940171,0.5202921867372492,1125,1251,3951,6
